RUN	File	Counts	Error	Data	Ora	Durata	Volume	Rate	ErrRate
RUN3793	0	587.1297169937791	18.94127070173996	20250210	00:00	2772.040283203125	40.0	6.337943340152712	0.20446708286679083
RUN3793	1	1143.957087651603	27.889296039579634	20250210	00:00	5597.095703125	40.0	12.117041315079362	0.2954094659737668
RUN3793	2	1743.4239295312736	33.46048211294142	20250210	00:00	8420.107177734375	40.0	18.48009444527197	0.3546772871230106
RUN3793	3	2331.01389180274	36.932909216166834	20250210	00:00	11458.1015625	40.0	22.95999145599909	0.36378130693703303
RUN3793	4	2976.722265506871	40.727695745447946	20250210	00:00	14635.28271484375	40.0	28.03562004663212	0.3835850648632099
RUN3793	5	3638.032881147489	47.55646627338366	20250210	00:00	17777.908935546875	40.0	34.640784389294396	0.4528252900159116
RUN3793	6	4259.511347016192	52.47077875346917	20250210	00:00	20929.6455078125	40.0	40.44116849437051	0.49817442230464765
RUN3832	0	860.0845417640401	35.444295063479224	20250210	10:17	1180.8958740234375	40.0	21.79432205454761	0.8981493610215419
RUN3840	0	556.7602894632008	16.62258945236573	20250210	11:25	2743.185546875	40.0	6.073330219031768	0.181324847964546
RUN3840	1	1173.1013232827768	23.513751075261705	20250210	11:25	5597.270263671875	40.0	12.299359390465478	0.24652949353367573
RUN3840	2	1834.0310133233556	32.562374951654846	20250210	11:25	8418.287353515625	47.0	19.454263115406842	0.34540147106026015
RUN3840	3	2580.105292729587	33.14720377403589	20250210	11:25	11182.294921875	54.0	27.93264288192851	0.35885706221513386
RUN3840	4	3417.3723017906495	41.13729777676393	20250210	11:25	13983.41455078125	61.0	36.50685874523459	0.43945856244871456
RUN3840	5	4329.048750197439	53.89091531089698	20250210	11:25	16759.078125	68.0	46.67018018502887	0.5809818445174553
RUN3840	6	5188.838531969486	62.304337428211326	20250210	11:25	19386.42529296875	75.0	59.097147779439936	0.7096016986478754
RUN3840	7	6121.821714834409	75.92542055742763	20250210	11:25	21936.961669921875	82.0	71.82290760830193	0.8907780591851322
RUN3840	8	7218.066547347967	82.35503247247588	20250210	11:25	24636.311279296875	89.0	80.01576700203084	0.9129454607457831
RUN3840	9	8512.09961148373	84.95999974676471	20250210	11:25	27426.888916015625	95.0	91.27596116291333	0.9110332340125299
RUN3840	10	9849.039701425127	91.07648219268204	20250210	11:25	30182.71044921875	100.0	106.94404977542263	0.9889378193465115
RUN3840	11	11371.428973706028	95.79977918109563	20250210	11:25	32998.75830078125	100.0	120.83391311609985	1.0179777951281883
RUN3840	12	13042.716904292602	98.12176011248467	20250210	11:25	35679.2236328125	100.0	145.60346172837262	1.0953904809937756
RUN3872	0	1754.4462994018002	27.414534108318833	20250210	21:30	2876.522705078125	100.0	7.300390510383847	0.11407405556910132
RUN3872	1	1762.5420311666944	26.959608663438647	20250210	21:30	5768.005615234375	100.0	7.296131807505729	0.11160066245740412
RUN3872	2	1690.0015723563092	29.294821946874315	20250210	21:30	8522.63623046875	100.0	7.3434062910470645	0.12729205895343695
RUN3872	3	237.07043686410714	10.848408809490115	20250210	21:30	8937.546966552734	100.0	6.83906207902178	0.31295737371605864
RUN3885	0	1768.7870290744704	29.835674626387462	20250211	03:34	2955.83544921875	100.0	7.162573803853756	0.12081738388317279
RUN3885	1	3646.99883352822	42.338441432045485	20250211	03:34	5914.59326171875	100.0	14.753668641720045	0.1712770867795883
RUN3885	2	5383.92350903894	51.54991746778424	20250211	03:34	8869.794921875	100.0	21.806480507001133	0.20879239248319414
RUN3885	3	7079.095436901366	57.83573361772292	20250211	03:34	11790.735595703125	100.0	29.008738932348052	0.23699944610603024
RUN3885	4	8758.521893366487	66.16314136958209	20250211	03:34	14739.68408203125	100.0	35.5498237789528	0.26854851137975744
RUN3885	5	10475.498229807281	65.16194860336412	20250211	03:34	17684.6328125	100.0	42.57657945773288	0.26484400278332915
RUN3885	6	12247.686076073243	77.20443236263156	20250211	03:34	20638.506103515625	100.0	49.62905467230772	0.3128413784343154
RUN3885	7	13951.379293375132	96.97075610183684	20250211	03:34	23585.209228515625	100.0	56.670178527697416	0.3938929581583655
RUN3885	8	15637.043390113155	94.70672225226497	20250211	03:34	26512.21875	100.0	63.94466619426417	0.38728483318035684
RUN3885	9	17297.524545561053	103.59202424728095	20250211	03:34	29469.3251953125	100.0	70.01495535219159	0.41930803066140526
RUN3885	10	18888.60888832387	113.36230685891067	20250211	03:34	32475.261474609375	100.0	75.21319240169514	0.4514012147368816
RUN3885	11	20571.66112510695	121.94604751048247	20250211	03:34	35494.02783203125	100.0	81.56684774674453	0.48351733144510883
RUN3885	12	22138.003344848592	132.9375085443975	20250211	03:34	38496.350341796875	100.0	88.25817134266815	0.5299855286953427
RUN3885	13	23685.81948385336	133.84828348804956	20250211	03:34	41494.64599609375	100.0	94.55571398226489	0.5343332122893535
RUN3885	14	25248.780032172912	139.09868322192364	20250211	03:34	44500.6640625	100.0	100.53623816218784	0.5538666948116517
RUN3885	15	26846.581720879098	154.85398014353223	20250211	03:34	47523.762451171875	100.0	106.29443629643508	0.6131177778515751
RUN3885	16	28457.932446181105	152.4061781165194	20250211	03:34	50469.370361328125	100.0	115.63844024932827	0.6193005326400884
RUN3885	17	30122.79358546536	164.43093350344122	20250211	03:34	53538.482421875	100.0	117.47793892735321	0.6412754218521636
RUN3885	18	30457.80335803008	163.1540622583468	20250211	03:34	54190.640686035156	100.0	559.009765714911	2.9944613223208267
RUN3889	0	1554.9719622251498	27.374366811199085	20250211	18:42	2968.616943359375	100.0	6.269634438612708	0.11037322669735701
RUN3889	1	1600.485927440662	27.573315406034684	20250211	18:42	5932.7548828125	100.0	6.462897501150157	0.11134337902055284
RUN3889	2	1558.8623648242822	26.018398842098712	20250211	18:42	8867.031494140625	100.0	6.358878672220269	0.10613370700048405
RUN3889	3	1484.500987730074	30.47119821111255	20250211	18:42	11810.09033203125	100.0	6.0374752688307565	0.12392656329083089
RUN3889	4	1522.3523137775164	30.012827161478143	20250211	18:42	14758.66552734375	100.0	6.179833615694626	0.12183400420255243
RUN3889	5	1590.0793169303329	33.13352755564047	20250211	18:42	17769.721923828125	100.0	6.320824282120783	0.13171116893106927
RUN3889	6	590.7853386654549	15.549325037064095	20250211	18:42	18963.284057617188	100.0	5.924592648623666	0.1559338236350797
RUN3896	0	1520.1718308543068	26.00913560608506	20250212	07:58	3078.15966796875	100.0	5.911195946406557	0.10113665695135708
RUN3896	1	1715.2350015925695	33.96605878698748	20250212	07:58	6213.976318359375	100.0	6.547067027877623	0.12964874395914505
RUN3896	2	1616.1819375035122	29.009423528980957	20250212	07:58	9349.1044921875	100.0	6.1703353273634205	0.11075353997818688
RUN3896	3	1478.4957072186735	25.754676239055353	20250212	07:58	12499.429931640625	100.0	5.617440307699637	0.09785307844361955
RUN3896	4	1510.4796951822261	28.495558867719453	20250212	07:58	15648.4375	100.0	5.741362993397714	0.10831217902573209
RUN3896	5	1397.1770007764046	31.164791146658533	20250212	07:58	18781.831298828125	100.0	5.337160546154238	0.11904826206318399
RUN3896	6	1501.0293894230476	25.434226308922685	20250212	07:58	21926.28564453125	100.0	5.713703771600354	0.09681598229391546
RUN3896	7	1473.170596090457	29.43889137923801	20250212	07:58	25078.64599609375	100.0	5.593594812553923	0.11177879231587172
RUN3896	8	1522.87180204812	30.532740282027262	20250212	07:58	28196.53271484375	100.0	5.846242579716022	0.11721394149667108
RUN3896	9	844.6071828762832	19.71072993808226	20250212	07:58	30031.932373046875	100.0	5.508050869776296	0.12854224470321904
RUN3897	0	1476.6856474732672	27.859576138966585	20250212	16:23	3145.143798828125	100.0	5.619806544838371	0.1060248866033769
RUN3897	1	1398.3107115602577	22.3646959885701	20250212	16:23	6284.941162109375	100.0	5.330597393699419	0.0852580110857673
RUN3897	2	1389.4353605611936	24.514261817087924	20250212	16:23	9439.652587890625	100.0	5.271722328575058	0.0930107186400383
RUN3897	3	1434.939519270322	28.10510736050724	20250212	16:23	12592.125732421875	100.0	5.448237354133104	0.10671062696865524
RUN3897	4	1358.8441989275955	24.299344981734325	20250212	16:23	15731.141845703125	100.0	5.181433613035819	0.0926562757985621
RUN3897	5	1412.1902787997708	24.49915715232627	20250212	16:23	18906.369873046875	100.0	5.3234369746069605	0.09235279479635332
RUN3897	6	64.21717415377526	6.5584332204608655	20250212	16:23	19063.904006958008	100.0	4.879219315525513	0.4983095950660981
RUN3903	0	284.5623599150385	12.18533682421102	20250212	21:48	644.8483276367188	100.0	5.281942808985562	0.22617978088502275
RUN3911	0	1327.2555012093887	25.47892622675551	20250213	00:00	2943.119873046875	100.0	5.397844898021225	0.10362081137718664
RUN3911	1	1286.6358326342254	24.336399874135477	20250213	00:00	5879.684326171875	100.0	5.244328931358415	0.09919519005135546
RUN3911	2	1308.8823220217257	24.294908688579255	20250213	00:00	8825.4287109375	100.0	5.318379969754009	0.09871747334532177
RUN3911	3	479.24410875754114	15.136396164612618	20250213	00:00	9919.911743164062	100.0	5.241089406911121	0.16553402357481356
RUN3919	0	1358.688942768219	26.58202898045507	20250213	05:12	2970.3232421875	100.0	5.475075924737894	0.10711695835623077
RUN3919	1	1264.2775220080339	25.083493051045014	20250213	05:12	5943.869384765625	100.0	5.089106657684342	0.10096878989140244
RUN3919	2	1194.662212413199	24.715769035752956	20250213	05:12	8888.935546875	100.0	4.855387430614312	0.10045068226587148
RUN3919	3	1242.1665186968612	23.26667392961604	20250213	05:12	11830.1455078125	100.0	5.055075070929977	0.09468519847761346
RUN3919	4	1202.7423181920353	22.476283253715234	20250213	05:12	14862.192138671875	100.0	4.747998074175586	0.08872835684677881
RUN3919	5	1288.0390186244604	28.283817444064876	20250213	05:12	17908.373779296875	100.0	5.061124742106366	0.11113632909991253
RUN3919	6	1275.0290422433375	24.37369108959915	20250213	05:12	20996.49853515625	100.0	4.941958097554619	0.09447138540123619
RUN3919	7	1281.9071848349095	24.678372842559398	20250213	05:12	24005.9345703125	100.0	5.098533571315943	0.09815337171968884
